"transab_cat","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","2007","higher education","West Germany","58","0.0249048568416172","0.0193716438829888","0.0304380698002456","2"
"No transfer dependency","2007","general elemantary","West Germany","852","0.466190672802712","0.443771597083455","0.48860974852197","0"
"No transfer dependency","2007","general elemantary","East Germany","122","0.409189797791386","0.356538136464236","0.461841459118537","0"
"No transfer dependency","2007","middle vocational","West Germany","3667","0.508565499299118","0.497370090027614","0.519760908570622","0"
"No transfer dependency","2007","middle vocational","East Germany","1089","0.459692149594879","0.440513532540195","0.478870766649564","0"
"No transfer dependency","2007","vocational + Abi","West Germany","395","0.431656874429224","0.400911828341853","0.462401920516594","0"
"No transfer dependency","2007","higher education","East Germany","582","0.492480665110951","0.465230463673236","0.519730866548666","0"
"No transfer dependency","2007","vocational + Abi","East Germany","51","0.387349623065522","0.313019638900884","0.461679607230161","0"
"No transfer dependency","2007","higher vocational","West Germany","465","0.461373384548701","0.432152230563508","0.490594538533894","0"
"No transfer dependency","2007","higher vocational","East Germany","196","0.483105739509052","0.434195717505219","0.532015761512884","0"
"No transfer dependency","2007","higher education","West Germany","1422","0.518072817001762","0.500331004779807","0.535814629223717","0"
"No transfer dependency","2007","in school","West Germany","3","","","","0"
"No transfer dependency","2007","in school","East Germany","","","","","0"
"No transfer dependency","2007","inadequately","West Germany","58","0.345280007231945","0.277851285779253","0.412708728684637","0"
"No transfer dependency","2007","inadequately","East Germany","6","","","","0"
"Very high transfer dependency","2007","general elemantary","West Germany","59","0.0342070813007121","0.0260385711506459","0.0423755914507783","4"
"Very high transfer dependency","2007","general elemantary","East Germany","17","","","","4"
"Very high transfer dependency","2007","middle vocational","West Germany","112","0.017293953968371","0.0143745602477643","0.0202133476889777","4"
"Very high transfer dependency","2007","middle vocational","East Germany","94","0.0424051362482114","0.0346504676861956","0.0501598048102272","4"
"Very high transfer dependency","2007","vocational + Abi","West Germany","10","","","","4"
"Very high transfer dependency","2007","inadequately","East Germany","5","","","","4"
"Very high transfer dependency","2007","higher education","East Germany","14","","","","4"
"Very high transfer dependency","2007","in school","East Germany","8","","","","4"
"Very high transfer dependency","2007","higher vocational","West Germany","8","","","","4"
"Very high transfer dependency","2007","higher vocational","East Germany","3","","","","4"
"Very high transfer dependency","2007","in school","West Germany","9","","","","4"
"Very high transfer dependency","2007","inadequately","West Germany","11","","","","4"
"Very high transfer dependency","2007","vocational + Abi","East Germany","3","","","","4"
"Very high transfer dependency","2007","higher education","West Germany","19","","","","4"
"Very low transfer dependency","2007","in school","West Germany","409","0.808488491571533","0.773064843886307","0.843912139256759","1"
"Very low transfer dependency","2007","in school","East Germany","112","0.729075704852122","0.656984555027546","0.801166854676697","1"
"Very low transfer dependency","2007","inadequately","West Germany","67","0.272540880148775","0.209394053463681","0.335687706833869","1"
"Very low transfer dependency","2007","inadequately","East Germany","6","","","","1"
"Very low transfer dependency","2007","general elemantary","West Germany","709","0.344841717207655","0.323480507075969","0.366202927339341","1"
"Very low transfer dependency","2007","general elemantary","East Germany","125","0.301442156566639","0.25230286758189","0.350581445551387","1"
"Very low transfer dependency","2007","higher vocational","West Germany","582","0.454120114039574","0.424935019501472","0.483305208577676","1"
"Very low transfer dependency","2007","higher vocational","East Germany","166","0.424876241313442","0.376493799567584","0.473258683059299","1"
"Very low transfer dependency","2007","higher education","West Germany","1515","0.424021001057748","0.406473758810111","0.441568243305385","1"
"Very low transfer dependency","2007","higher education","East Germany","601","0.402274626079678","0.375546962594319","0.429002289565037","1"
"Very low transfer dependency","2007","middle vocational","West Germany","3304","0.385994524925601","0.375092418924616","0.396896630926586","1"
"Very low transfer dependency","2007","middle vocational","East Germany","960","0.319363891701269","0.301422195297065","0.337305588105473","1"
"Very low transfer dependency","2007","vocational + Abi","West Germany","521","0.475213348914331","0.444215167372729","0.506211530455932","1"
"Very low transfer dependency","2007","vocational + Abi","East Germany","81","0.404044212131357","0.329170806961847","0.478917617300867","1"
"Complete transfer dependency","2008","in school","West Germany","9","","","","5"
"Complete transfer dependency","2008","in school","East Germany","1","","","","5"
"Complete transfer dependency","2008","inadequately","West Germany","14","","","","5"
"Complete transfer dependency","2008","inadequately","East Germany","2","","","","5"
"Complete transfer dependency","2008","general elemantary","West Germany","36","0.0280499048450566","0.0203116885322724","0.0357881211578408","5"
"Complete transfer dependency","2008","general elemantary","East Germany","8","","","","5"
"Complete transfer dependency","2008","middle vocational","West Germany","57","0.010614755032815","0.00824665209316378","0.0129828579724662","5"
"Complete transfer dependency","2008","middle vocational","East Germany","50","0.0325568493983317","0.0255550538425467","0.0395586449541167","5"
"Complete transfer dependency","2008","vocational + Abi","West Germany","6","","","","5"
"Complete transfer dependency","2008","vocational + Abi","East Germany","3","","","","5"
"Complete transfer dependency","2008","higher vocational","West Germany","6","","","","5"
"Complete transfer dependency","2008","higher vocational","East Germany","","","","","5"
"Complete transfer dependency","2008","higher education","West Germany","11","","","","5"
"Complete transfer dependency","2008","higher education","East Germany","5","","","","5"
"High transfer dependency","2008","in school","West Germany","2","","","","3"
"High transfer dependency","2008","in school","East Germany","6","","","","3"
"High transfer dependency","2008","inadequately","West Germany","14","","","","3"
"High transfer dependency","2008","inadequately","East Germany","2","","","","3"
"High transfer dependency","2008","general elemantary","West Germany","64","0.0281796146782837","0.020424044824553","0.0359351845320144","3"
"High transfer dependency","2008","general elemantary","East Germany","10","","","","3"
"High transfer dependency","2008","middle vocational","West Germany","124","0.0240080887608193","0.0204708467245489","0.0275453307970897","3"
"High transfer dependency","2008","middle vocational","East Germany","85","0.0492345593922875","0.0406987003488033","0.0577704184357718","3"
"High transfer dependency","2008","vocational + Abi","West Germany","14","","","","3"
"High transfer dependency","2008","vocational + Abi","East Germany","7","","","","3"
"High transfer dependency","2008","higher vocational","West Germany","10","","","","3"
"High transfer dependency","2008","higher vocational","East Germany","8","","","","3"
"High transfer dependency","2008","higher education","West Germany","15","","","","3"
"High transfer dependency","2008","higher education","East Germany","15","","","","3"
"Low transfer dependency","2008","general elemantary","West Germany","142","0.0880794289926036","0.0747972619499718","0.101361596035235","2"
"Low transfer dependency","2008","general elemantary","East Germany","38","0.137740513644772","0.0992527592604126","0.176228268029132","2"
"Low transfer dependency","2008","middle vocational","West Germany","319","0.0520788457946982","0.0469445645204297","0.0572131270689666","2"
