"transab_cat","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Very low transfer dependency","2003","35-65 y.","inadequately","46","0.257236067388526","0.187050746308726","0.327421388468325","1"
"Very low transfer dependency","2003","35-65 y.","general elemantary","402","0.390260508823989","0.359641209493456","0.420879808154523","1"
"Very low transfer dependency","2003","35-65 y.","middle vocational","3283","0.451271190029799","0.439091141474135","0.463451238585464","1"
"Very low transfer dependency","2003","35-65 y.","vocational + Abi","365","0.522466984608586","0.482632358134043","0.56230161108313","1"
"Very low transfer dependency","2003","35-65 y.","higher education","1997","0.551465372034455","0.53416860419212","0.568762139876789","1"
"Very low transfer dependency","2003","35-65 y.","higher vocational","731","0.552129886117946","0.523376781397564","0.580882990838328","1"
"Very low transfer dependency","2003","66 and older","higher education","76","0.123076421885922","0.09631697615176","0.149835867620084","1"
"Complete transfer dependency","2004","16-34 y.","in school","6","","","","5"
"Complete transfer dependency","2004","16-34 y.","inadequately","2","","","","5"
"Complete transfer dependency","2004","16-34 y.","general elemantary","19","","","","5"
"Complete transfer dependency","2004","16-34 y.","middle vocational","24","","","","5"
"Complete transfer dependency","2004","16-34 y.","vocational + Abi","5","","","","5"
"Complete transfer dependency","2004","16-34 y.","higher vocational","1","","","","5"
"Complete transfer dependency","2004","16-34 y.","higher education","3","","","","5"
"Complete transfer dependency","2004","35-65 y.","in school","","","","","5"
"Complete transfer dependency","2004","66 and older","in school","","","","","5"
"Complete transfer dependency","2004","66 and older","inadequately","","","","","5"
"Complete transfer dependency","2004","66 and older","general elemantary","","","","","5"
"Complete transfer dependency","2004","66 and older","middle vocational","1","","","","5"
"Complete transfer dependency","2004","66 and older","vocational + Abi","","","","","5"
"Complete transfer dependency","2004","66 and older","higher vocational","1","","","","5"
"Complete transfer dependency","2004","66 and older","higher education","","","","","5"
"Complete transfer dependency","2004","35-65 y.","inadequately","5","","","","5"
"Complete transfer dependency","2004","35-65 y.","general elemantary","27","","","","5"
"Complete transfer dependency","2004","35-65 y.","middle vocational","85","0.0196855142235824","0.0162223362452539","0.0231486922019109","5"
"Complete transfer dependency","2004","35-65 y.","vocational + Abi","7","","","","5"
"Complete transfer dependency","2004","35-65 y.","higher vocational","10","","","","5"
"Complete transfer dependency","2004","35-65 y.","higher education","10","","","","5"
"High transfer dependency","2004","16-34 y.","vocational + Abi","7","","","","3"
"High transfer dependency","2004","16-34 y.","inadequately","7","","","","3"
"High transfer dependency","2004","16-34 y.","general elemantary","64","0.0897501714295821","0.0708657057537847","0.108634637105379","3"
"High transfer dependency","2004","16-34 y.","middle vocational","76","0.031427826309691","0.0245680799070779","0.0382875727123042","3"
"High transfer dependency","2004","16-34 y.","higher vocational","3","","","","3"
"High transfer dependency","2004","16-34 y.","higher education","6","","","","3"
"High transfer dependency","2004","35-65 y.","in school","","","","","3"
"High transfer dependency","2004","16-34 y.","in school","15","","","","3"
"High transfer dependency","2004","35-65 y.","inadequately","9","","","","3"
"High transfer dependency","2004","66 and older","general elemantary","4","","","","3"
"High transfer dependency","2004","66 and older","in school","","","","","3"
"High transfer dependency","2004","66 and older","inadequately","2","","","","3"
"High transfer dependency","2004","66 and older","middle vocational","5","","","","3"
"High transfer dependency","2004","66 and older","vocational + Abi","","","","","3"
"High transfer dependency","2004","66 and older","higher vocational","1","","","","3"
"High transfer dependency","2004","66 and older","higher education","3","","","","3"
"High transfer dependency","2004","35-65 y.","vocational + Abi","11","","","","3"
"High transfer dependency","2004","35-65 y.","general elemantary","26","","","","3"
"High transfer dependency","2004","35-65 y.","higher education","30","0.0149775045800938","0.0106976329673982","0.0192573761927894","3"
"High transfer dependency","2004","35-65 y.","middle vocational","144","0.0251045185145003","0.0212044368925807","0.0290046001364199","3"
"High transfer dependency","2004","35-65 y.","higher vocational","16","","","","3"
"Low transfer dependency","2004","16-34 y.","inadequately","11","","","","2"
"Low transfer dependency","2004","16-34 y.","in school","50","0.108607248996562","0.0842722000131936","0.132942297979931","2"
"Low transfer dependency","2004","35-65 y.","inadequately","16","","","","2"
"Low transfer dependency","2004","35-65 y.","general elemantary","84","0.090635863353885","0.0717957022088756","0.109476024498894","2"
"Low transfer dependency","2004","35-65 y.","middle vocational","447","0.0678357171224862","0.061566776467002","0.0741046577779705","2"
"Low transfer dependency","2004","35-65 y.","vocational + Abi","34","0.0663904305607249","0.0466010731961095","0.0861797879253403","2"
"Low transfer dependency","2004","35-65 y.","in school","","","","","2"
"Low transfer dependency","2004","16-34 y.","higher vocational","21","","","","2"
"Low transfer dependency","2004","16-34 y.","higher education","25","","","","2"
"Low transfer dependency","2004","16-34 y.","middle vocational","268","0.1083393888911","0.0961192011991643","0.120559576583036","2"
"Low transfer dependency","2004","16-34 y.","vocational + Abi","40","0.0985242300457248","0.0707408224531791","0.126307637638271","2"
"Low transfer dependency","2004","66 and older","in school","","","","","2"
"Low transfer dependency","2004","66 and older","vocational + Abi","","","","","2"
"Low transfer dependency","2004","66 and older","higher vocational","3","","","","2"
"Low transfer dependency","2004","16-34 y.","general elemantary","114","0.128021465220937","0.105946448116656","0.150096482325217","2"
"Low transfer dependency","2004","35-65 y.","higher vocational","49","0.0314091355341383","0.0211620895548265","0.04165618151345","2"
"Low transfer dependency","2004","35-65 y.","higher education","118","0.0459820035519537","0.0386019389191063","0.0533620681848012","2"
"Low transfer dependency","2004","66 and older","inadequately","4","","","","2"
"Low transfer dependency","2004","66 and older","general elemantary","24","","","","2"
"Low transfer dependency","2004","66 and older","middle vocational","38","0.0205844204480972","0.0143397245377275","0.0268291163584668","2"
"Low transfer dependency","2004","66 and older","higher education","6","","","","2"
"No transfer dependency","2004","16-34 y.","in school","3","","","","0"
"No transfer dependency","2004","16-34 y.","inadequately","10","","","","0"
"No transfer dependency","2004","16-34 y.","general elemantary","91","0.121382771184756","0.0998060655508831","0.142959476818628","0"
"No transfer dependency","2004","16-34 y.","middle vocational","695","0.314523951230514","0.296267855757959","0.332780046703068","0"
"No transfer dependency","2004","16-34 y.","vocational + Abi","158","0.372074505342559","0.327012971443871","0.417136039241246","0"
"No transfer dependency","2004","16-34 y.","higher vocational","79","0.36336192680742","0.303741634592461","0.422982219022379","0"
"No transfer dependency","2004","16-34 y.","higher education","265","0.525554145769591","0.483241200016842","0.56786709152234","0"
"No transfer dependency","2004","35-65 y.","in school","","","","","0"
"No transfer dependency","2004","35-65 y.","inadequately","33","0.248481774709563","0.175855182678829","0.321108366740298","0"
"No transfer dependency","2004","35-65 y.","general elemantary","355","0.43511003847611","0.40257531319836","0.467644763753861","0"
"No transfer dependency","2004","35-65 y.","middle vocational","2181","0.408210049885392","0.395956995579442","0.420463104191342","0"
"No transfer dependency","2004","35-65 y.","vocational + Abi","166","0.310108857909413","0.273343087438197","0.346874628380629","0"
"No transfer dependency","2004","35-65 y.","higher vocational","339","0.370138188718657","0.34177173171397","0.398504645723344","0"
"No transfer dependency","2004","35-65 y.","higher education","974","0.389512362743286","0.372329837274414","0.406694888212158","0"
"No transfer dependency","2004","66 and older","in school","","","","","0"
"No transfer dependency","2004","66 and older","inadequately","31","0.621297879665445","0.491922983212385","0.750672776118504","0"
"No transfer dependency","2004","66 and older","general elemantary","634","0.827063095092587","0.800453982414447","0.853672207770727","0"
"No transfer dependency","2004","66 and older","middle vocational","1699","0.856739916290227","0.841331941116879","0.872147891463574","0"
"No transfer dependency","2004","66 and older","vocational + Abi","88","0.920054774676046","0.866898908644042","0.97321064070805","0"
"No transfer dependency","2004","66 and older","higher vocational","222","0.858370505704348","0.815742425440182","0.900998585968513","0"
"No transfer dependency","2004","66 and older","higher education","528","0.843150461629942","0.814685638861538","0.871615284398345","0"
"Very high transfer dependency","2004","16-34 y.","in school","16","","","","4"
"Very high transfer dependency","2004","16-34 y.","inadequately","2","","","","4"
"Very high transfer dependency","2004","16-34 y.","general elemantary","34","0.0547100390695651","0.0396847515863381","0.0697353265527921","4"
"Very high transfer dependency","2004","16-34 y.","middle vocational","74","0.0379829761535242","0.0304672530970643","0.045498699209984","4"
"Very high transfer dependency","2004","16-34 y.","vocational + Abi","8","","","","4"
