"pli0089","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2009","no migration background","general elemantary","","","",""
"Daily","2009","no migration background","middle vocational","","","",""
"Daily","2009","no migration background","vocational + Abi","","","",""
"Daily","2009","no migration background","higher vocational","","","",""
"Daily","2009","no migration background","higher education","","","",""
"Daily","2009","direct migration background","in school","","","",""
"Daily","2009","direct migration background","inadequately","","","",""
"Daily","2009","direct migration background","general elemantary","","","",""
"Daily","2009","direct migration background","middle vocational","","","",""
"Daily","2009","direct migration background","vocational + Abi","","","",""
"Daily","2009","direct migration background","higher vocational","","","",""
"Daily","2009","direct migration background","higher education","","","",""
"Daily","2009","indirect migration background","in school","","","",""
"Daily","2009","indirect migration background","inadequately","","","",""
"Daily","2009","indirect migration background","general elemantary","","","",""
"Daily","2009","indirect migration background","middle vocational","","","",""
"Daily","2009","indirect migration background","vocational + Abi","","","",""
"Daily","2009","indirect migration background","higher vocational","","","",""
"Daily","2009","indirect migration background","higher education","","","",""
"Min 1x per week","2009","no migration background","in school","","","",""
"Min 1x per week","2009","no migration background","inadequately","","","",""
"Min 1x per week","2009","no migration background","general elemantary","","","",""
"Min 1x per week","2009","no migration background","middle vocational","","","",""
"Min 1x per week","2009","no migration background","vocational + Abi","","","",""
"Min 1x per week","2009","no migration background","higher vocational","","","",""
"Min 1x per week","2009","no migration background","higher education","","","",""
"Min 1x per week","2009","direct migration background","in school","","","",""
"Min 1x per week","2009","direct migration background","inadequately","","","",""
"Min 1x per week","2009","direct migration background","general elemantary","","","",""
"Min 1x per week","2009","direct migration background","middle vocational","","","",""
"Min 1x per week","2009","direct migration background","vocational + Abi","","","",""
"Min 1x per week","2009","direct migration background","higher vocational","","","",""
"Min 1x per week","2009","direct migration background","higher education","","","",""
"Min 1x per week","2009","indirect migration background","in school","","","",""
"Min 1x per week","2009","indirect migration background","inadequately","","","",""
"Min 1x per week","2009","indirect migration background","general elemantary","","","",""
"Min 1x per week","2009","indirect migration background","middle vocational","","","",""
"Min 1x per week","2009","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","2009","indirect migration background","higher vocational","","","",""
"Min 1x per week","2009","indirect migration background","higher education","","","",""
"Min 1x per month","2009","no migration background","in school","","","",""
"Min 1x per month","2009","no migration background","inadequately","","","",""
"Min 1x per month","2009","no migration background","general elemantary","","","",""
"Min 1x per month","2009","no migration background","middle vocational","","","",""
"Min 1x per month","2009","no migration background","vocational + Abi","","","",""
